,score,text
0,5,もう何度もリピしています。簡単においしくいただけて、栄養満点です。
1,5,"10月24日は秋の土用丑
【 長焼き増量】特大国産うなぎ蒲焼き
3種セット 送料無料 でした。
通常の鰻より大き目のサイズのSETでお買得でした。
家族からも好評の鰻の蒲焼です。"
2,5,去年のですけど、そう言えば、美味しかったと言っていました。
3,5,"一貫して管理された品質のよい『国産うなぎ』を、皮はパリッと中はふんわりと焼き上げた川口水産さんのうなぎ、いつも、何度食べても美味しい。
特大国産うなぎ長焼き、肉厚でふっくらと脂のノリがよく、独特の香ばしさ、とろけるような食感、うなぎ本来の風味を秘伝のタレで味わいました。
長焼き商品に印刷されているロット番号から産地を検索、鹿児島産でした。
長焼きのみの注文が多いのですが、今回は、うなぎ蒲焼きカット2枚で80g(1袋に2枚入)、きざみうなぎの蒲焼き75g×1食を含めた3種セットです。
3種セットをいただいたのは、過去に2～3回くらいだと記憶しています。
今年は絶滅の恐れがあるニホンウナギの稚魚シラスウナギが極度の不漁で、過去最低と言われていました。
ですが、漁獲量は徐々に増えて、水産庁によると2013年以降では13年に次ぐ少なさだが、前年の７割程度を確保できるとの見通しとのこと、価格は値上がり傾向です。
そこで、我が家から1kmの距離にあり、1週間に1～2回は鮮魚を買いに行っている、1都6県に22店を構える大型鮮魚専門チェーンストアーの1店舗で、普段は見たり買ったりすることのない『うなぎ』コーナーをのぞき、初めて国産うなぎを購入しました。
想像していたより美味しかったので、次に、鹿児島県大隅半島大崎町で生産された特大蒲焼き220g～230ｇの2本セットを通販で2回購入しました。
ふんわり柔らかくて脂のりも良く、タレも美味しかったのですが、食べているうちに、何となく物足りなくなりました。
それは何かなぁ、と考えてみて、焼き方の違いに気が付きました。それは皮がパリっとして身がしまっている川口さんの『うなぎ』との違いです。
ちょっと高いけど、川口水産さんの『うなぎ』の風味、食感、旨さは忘れられません。
前回購入から半年くらい間が空きましたが、これからもお世話になります。"
4,5,"祖母へ年末の挨拶用にと購入しました。
敬老の日にも喜んでもらえましたが、今回もたいへん好評でした！
うなぎにうるさい祖母ですが、かわすいさんのうなぎはお気に入りのようです(*´∀｀)
今回は店長さんのお誕生日記念クーポン（おめでとうございます☆）で1,000円お得に買えました(*´ω`*)♪"
5,5,ふるさと納税で初めて食べたとき「ここのうなぎ美味しい」と冷凍とは思えない美味しさに驚きました。普通に楽天で購入できることを最近知り、丑の日にと購入しました。とてもやわらかくて美味しかったです。写真は3種セットの蒲焼ロング（170ｇ）と単品の蒲焼メガサイズ（230g）です。
6,5,"実家の母の誕生日祝いにレビュー高評価のこちらと肝吸いを贈りました。
フワフワの食感でとっても美味しかったと電話で話してくれました。
川口水産さんは受付完了メール、発送予定日メール、そして配達完了のメールまでして下さいます。
離れた場所に住む家族や親戚のお祝いなどでよく楽天を利用しますが、配達完了メールまで送って下さる店舗はほぼありません。
大抵の楽天店舗は配達完了メールまでは送って来ない為、送り主側はプレゼントが相手方にきちんと配達されているかどうかを追跡番号から調べ、ソワソワしながら1日に何度も確認する手間と不安があると思います。
川口水産さんはその手間も無く本当に安心して贈る事が出来ました。
本当に感謝しています☆"
7,5,"去年一度こちらで購入し美味しかったので
父の日に送りました。母と美味しく食べたようです。
すごく喜んでもらえました！
また注文します！"
8,4,"父の日ギフトとして注文しました（着日を指定して）。
うなぎは間違いなく喜ばれるのでいいですね。ここ数年、父の日にはうなぎを贈っています。"
9,5,"3種セットを注文。
細かく刻まれたものは、ひつまぶし様に。
まるまる一尾のものは、そのままうな丼に。
カットされたものは、お弁当様にと多種多様のバリエーションが楽しめます。
家族が一番喜んだ食べ方は、細かく刻まれたひつまぶしの上に大き目のうなぎを
ドンとのせると、一番豪華で美味しかったと。"
10,5,お店で売ってるんだけどなんだか気持ち悪くて買ったことがなくてうなぎ専門店でよく通って食べています。病気をしてから変色がひどくものすごく敏感になってしまったため、お肉や魚もきちんと調理してあったりお店のものしか食べれなくなりました。こちらのショップは調理の仕方なども書いてありそうで試しに買ってみたのですが、想像以上の美味しさとボリュームにびっくりしました。お値段もお店で食べるよりは安く上がると思うし、何よりたくさん食べられて幸せです。冷凍庫にストックしておこうと今回もたくさん注文させていただくことにしました。おいしいうなぎをありがとうございます。大ファンになってしまいました。
11,5,贈り物用に購入しました。届いたその日に食べてもらえたようで喜んでいました！ありがとうございました。
